id,context,question,answer0,answer1,answer2,answer3,label,pred,logits
3J9UN9O9J56SD03UP0XSSABHAI60JN##38JBBYETQRP4OSXXK2F5WHKRDT2E42##A1OPGPTQJ48XOY##Blog_1477361##q1_a1##3X7837UUAFCNRBP9RPD91BL8NUJ6J3,The sort of boys who would while away their time in metal work classes fashioning knuckle - dusters . The school was n't a nice place to be and I hated it . You had to learn survival skills . Now that 's where the magic pen comes into this story .,What sort of school would you rather have gone to ?,I would have rather gone to school which provided magic pens,I would have rather gone to school for advanced survival skills given I know so much about that by now,None of the above choices .,I would rather have gone to school focused on creative arts and liberal arts,3,2,[-2.559 -2.352 -2.242 -3.336]
3X2LT8FDHWGH7K9P75HMIHNZ29H8WL##3W8CV64QJ3X2AJV471726U4BL18H9Q##AJ7NSZOAFP05U##Blog_751627##q1_a1##3M67TQBQQJ2Z81O3VQ38SM9RN4H9AD,"Oh no ! I went to Starbucks tonight to meet with a friend . I went early , you know any way I can get out of the house without the children and spend some quiet time on my own , works for me !",What may be your reason for going to Starbucks ?,I wanted a break from my family .,The kids enjoy quiet time there .,I invited someone there .,My family wanted to go to Starbucks .,0,2,[ 0.1265 -4.04    1.276  -5.785 ]
3ZXNP4Z39RJXWCS7TMIEV6AOTFW7LN##34S9DKFK74N9LGPNIBUVAVUYG5KYNP##AO33H4GL9KZX9##Blog_459412##q1_a1##3MJ9GGZYO5KO8H34AHOTIZ1DHWBA2M,Another thing I do n't appreciate is the shooting games . Jon had bought this shooting game and one day I watched the little movie intro to the level he was about to play . It was imitating World War 2 and Jon was on the team that was going and killing the Germans . I had big issues with this .,Why might I have problems with Jon playing a shooting game ?,Because a shooting game involves violence but do n't kill people .,Because a shooting game involves fun and hitting people .,Because a shooting game involves violence and killing people .,Because a shooting game involves fun and killing people .,2,3,[-2.658 -3.023 -3.057 -0.423]
39HYCOOPKQZCDSA949YFN9NH789DM9##31IBVUNM9VEVOJG8Z90YNP540G8FVT##A2KYOM2ZGYDJGT##Blog_324835##q1_a1##3UEDKCTP9X416V9WSKID84LHXQ47KV,"I was a little nervous about this today , but they felt fantastic . I think they 'll be a very good pair of shoes . This time I ' m going to keep track of the miles on them .",Why did the writer feel nervous ?,None of the above choices .,Because the shoes felt fantastic .,Because they were unsure if the shoes would be good quality .,Because the writer thinks the shoes will be very good .,2,3,[-3.582 -3.188 -1.245 -0.523]
3Y3CZJSZ9KRTC691AD0DJY5R840R5Y##39U1BHVTDMP60QXJQMNHT04DW1D3TL##AGUF6B4Q9991D##Blog_491774##q2_a1##3ZVPAMTJWPH6MSXSB7V4FTKORLZGRI,"I did glare at her , though . I was probably only in there 40 hours total . I knew what to say to get out , and I played their stupid little games . I swallowed their pills , and I agreed to enroll in their partial hospitalization program if they would just let me go home .",What can be assumed about the narrator ?,She does n't know her way around the system,She knows how go through motions,She knows how to get into a facility,None of the above choices .,1,0,[ 2.094 -4.77  -2.398 -3.848]
3NQUW096N8MG4KF7SHSY10P2HIYL9T##34X6J5FLPWDJOD6NW0X9W0YOFP6QJ0##A33PQXKQHFVF3V##Blog_1209097##q1_a1##3CKVGCS3PIJLC3MKCU66KB246C0S0Y,"One that would never cease to stalk my nights , burn my skin with envy , like I burned now . It rained just so I felt like I had someone beside me , consoling me , though somewhere I still wished it were her instead . But she was like the wind that whistled , never turned .",How do I feel about this person that is with me ?,She consoles me and makes me feel better about myself .,None of the above choices .,She stalks me and honestly it is kind of weird .,I do n't really like her as much as I like the other girl .,3,0,[ 3.814 -1.91  -2.967  1.173]
38VTL6WC4CRH3WKU8647JSMW3GOY55##3DY4FPOOA43SR9LHQ40S4EJN2HHRVN##AISNLDPD2DFEG##Blog_262078##q1_a2##33P2GD6NRP6YZKF85T4PZHABBQKHKL,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,What would happened if she could not find a daycare ?,She would try to find a babysitter .,She would take the baby to work .,None of the above choices .,She would leave the baby alone at home .,0,3,[-4.035 -4.44  -2.488 -2.137]
38VTL6WC4CRH3WKU8647JSMW3GOY55##3DY4FPOOA43SR9LHQ40S4EJN2HHRVN##AISNLDPD2DFEG##Blog_262078##q2_a1##3PA41K45VPI2HM6C5CNL4L7GRXU7PA,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,Why was her nursing job deemed to be useful and worthwhile ?,Because she would take care of them if they were sick .,Because she was paid a huge amount of money .,Because she was taking care of sick people .,None of the above choices .,2,0,[-0.4673 -4.367  -1.939  -2.393 ]
3CO05SML7XJ9BOM7X561U1X8K4V0RK##3NC5L260MR10YZ7BYXEKSXBW77DFO0##A33PQXKQHFVF3V##Blog_651814##q1_a1##37SQU136V92LP888VUVM2FY5L3A115,"It was a tough decision I had to make right away , without much time to really think everything through . But I think he would ' ve been happy with my choice . Although he was skeptical at first of my decision to go to South Korea for a whole year to teach English , I think he eventually realized that it was something I needed to do . He was never one to hold me back from my crazy schemes ; he just encouraged me to take another look at them , and see if they were what I really wanted to do .",Why did it seem like a crazy idea for me to pursue this ?,South Korea is a warzone and not safe to live in but I felt I had to do it to help someone .,I do n't even know how to teach so why would I move to a place and begin to teach .,None of the above choices .,I had never been to South Korea so moving there and living there for a year was crazy .,3,0,[ 2.545  -0.1302 -2.176  -0.5   ]
38DCH97KHH01749MM0F7FIERUNSQJP##3YZ8UPK3VUK9D38RJKOSRZU9M9UCUF##AJ7NSZOAFP05U##Blog_303269##q1_a1##3OZ4VAIBEZT8614ASXLHD3174JNVJO,"Despite all the confusing shit that 's going on , that one thing did make me happy . I worked for it , and I got it . If only the rest of the world worked the same way .",What may have caused something to make you happy despite the confusing shit ?,I did n't have to work for compensation .,I received fair compensation .,Confusing shit makes me happy .,I got to make the rest of the world work my way .,1,0,[-0.1729 -1.011  -2.805  -3.275 ]
3S8APUMBJZXDSLK84Q3WXTF889ZBFI##36V4Q8R5ZNF9PLC8ZXA1CSQ5I1UQMW##A2KYOM2ZGYDJGT##Blog_1376968##q1_a1##3FJ2RVH251KA3YTZIBATM4QTBJL928,"And those leaves have been mocking me from the back of the refrigerator ever since , daring me to find a use for them whilst they slowly rot away . Damn leaves . I found this page while surfing for something . It 's about Jamacian Bush Teas I slapped my forehead and set out to make mint tea . I tossed the mint leaves into a quart of water with a cinnamon stick . Brought it to a boil and simmered it for about 10 minutes and added about 1/2 cup of sugar .",Why did the leaves slowly rot away ?,None of the above choices .,Because they are mocking the writer .,Because they are daring the writer to find a use for them .,Because the writer bought them and never used them .,3,0,[-1.276 -1.288 -1.908 -3.943]
3L1EFR8WWVJU4S5B66P06NKIK9X9F7##3RSDURM96D1KMZBH993CC6OY88HYEF##AJ7NSZOAFP05U##Blog_1130444##q1_a1##3W9XHF7WGM9O4T635NLED0DZMQAKT5,"The house painters finished yesterday and we are so pleased with the results . While I would not say they were the greatest guys to work with , they did do a nice job and the house looks so much better . Here are some photos I took with my phone as I was running out the door this morning .",What may have caused you to take photos of your house ?,It got a new coat of color .,It was my new house .,I wanted to show off its old coat of color .,None of the above choices .,0,1,[ 0.1066  2.52   -3.225  -2.967 ]
31MBOZ6PAOP38TN3K3QPBS22UHHCLX##3KKG4CDWKJW8Y779SUNJC5V7F9B495##AJ7NSZOAFP05U##Blog_418787##q1_a1##3Z56AA6EK6EDSJVUUMQ1H3DPRC46M9,Our Bassinet Basket has a Bumble Bee motif . It also includes a rocker base that comes with it ( it is not pictured because it is not assembled right now ) . The basket handle had a little wear so when we used it we wove in some ribbons to make sure that it was absolutely safe for toting our little one . We purchased the set at Village Maternity .,Where was the basket purchased ?,None of the above choices .,"At a Walmart , our little one picked it out because it had some ribbons woven onto the basket handle .",Some place with Bumble Bee in the name .,A Bassinet Basket manufacturer is where we purchased it .,0,3,[-2.264 -5.207 -3.166 -1.207]
3J9L0X0VDH0WFER6WVZ0AB6IFP29WA##30ZX6P7VFBA2WU42UP780I0LZLTJ2K##A1OPGPTQJ48XOY##Blog_7669##q1_a1##375VSR8FVYN6D9SX1ZJT000U2H0RZ1,"Last week , I was supposed to meet a friend at Ipoh Parade . When I reached there , there was a fashion show at the concourse area . if you are familiar with Ipoh Parade , I am sure you know there 's a stage set up there permanently .",What happened once you arrived at the parade ?,None of the above choices .,I hit on a few of the models and designers because they were attractive,I walked backstage and spoke to some of the models about the show,I watched the fashion show for a while while waiting for my friend to arrive,3,1,[-2.207  4.863  1.962  1.13 ]
3WRBLBQ2GTMIMYDTHUCPVXJ1IOB0G1##3B1NLC6UG2BOXZF7OHXHZIGYH0PPGN##AJ7NSZOAFP05U##Blog_1382150##q1_a1##37Y5RYYI0RJT9TSVF6VDTPPFGGJSXL,"Shortly after , one of Celeste 's friends named Kurt came over , but Celeste was upstairs and then Lindsay went upstairs . So it was just me and Kels and the two guys . I still felt pretty comfortable . They were n't terribly attractive , which makes it easier for me to relax , but they were really fun . Kyle was talking about how his apt does n't have a dishwasher . Kurt said his had six dishwashers , but only three of them worked . After like a minute I turned to Kels and was like "" Wait ... is he talking about people ?",What may have caused you to relax around the guys ?,Kels said Kurt and Kyle are cool .,All they talked about was dishwashers .,They had great looks .,None of the above choices .,3,2,[-4.64   -2.451  -0.1862 -3.365 ]
33Q5P9PUSPKNDI47Z4HYJ7D09W9CZC##3K5TEWLKGW903LJRGKUJYOUNB4MVIO##AO33H4GL9KZX9##Blog_694676##q1_a1##338GLSUI45PC971AFCPRNIP8C35SFW,"About two or three years ago , her husband passed away . Now in her seventies , she was about to marry the man that had lived with her and her family for over thirty years . Do n't ask questions . We do n't get it either .","What type of living situation must she , her husband and the man have had ?","She , her husband , and the man must have lived in the same house for 30 years .","She , her husband , and the man must have lived in different houses for 30 years .",None of the above choices .,"She , her husband , and the man must have lived in the same house for 2 or 3 years .",0,3,[-0.54    0.2544 -0.9956  0.79  ]
34D9ZRXCYT8HDGK24W3Z9HEHFUOSAT##3LYA37P8IT2RVRAGV30V2Q328ERKB3##A2KYOM2ZGYDJGT##Blog_1579723##q1_a1##3WPCIUYH1CMGQN0TD6ZR9NI92KNTDH,"From the second we know each other ; we seem to know each other before we had born . We have millions and thousands of words to share within our little planet . We study , fool around and do window - shopping together . We loved to go to concert when we had extra cash .",Why did they study ?,because we had extra cash,because they had a test,because of our little planet,None of the above choices .,1,3,[-5.547 -5.547 -6.95  -4.035]
30Z7M1Q8U0YZUW5TQYXUSQEH4938AG##3OF2M9AATJ3NDPDW1HGYO8A50DRZKV##A3GVXFBYAU9HP##Blog_1124475##q1_a2##3BFNCI9LYM4VAX1P7EQERI4GNOG73P,"Having got back from a busy Christmas all over the country , Sara decided to take some initiative and rip up the kitchen floor ! Parts of it have been peeling up intermitently for a while , but after we left the fridge defrosting while we were away a lot more of it had come up . So we both got down and dirty and ripped the rest of the ( disgusting ) old parke flooring up - parke flooring which had been glued to the old vinyl and then glued to the floor . Needless to say it was quite hard to get off ... !",Why are we ripping the disgusting old parke flooring up ?,"We want to put green , recycled flooring in that might peel up .",We want to fix the old flooring so it does n't peel up anymore .,We want a floor that will look pleasant because it peels up .,We want a floor that wo n't look disgusting because it peels up .,3,1,[-1.785  1.123 -5.613 -5.52 ]
3VMV5CHJZATJ27AKFW0ZF8L6ENKTGT##3DOCMVPBTQTU46KGV6XKLDK0GFENNZ##A2KYOM2ZGYDJGT##Blog_1228236##q1_a1##3YCT0L9OMONOXZERD084VNYHEW7SNN,"what a week ! i do n't even know where to start . well , i should note down that the bellydancing performance for cultural night went pretty good , apparantly we ' ve been booked for the gatton show which is pretty cool . the sword dance was far from perfect , i stuffed up a couple of times but at least i did n't drop my sword !",Why were they booked for the gatton show ?,Because the writer stuffed up a couple times .,Because someone with authority likes their act .,Because they writer did n't drop their sword .,None of the above choices .,1,3,[-7.09  -2.701 -5.785 -1.714]
35JDMRECC6NHDOSNP1B4GML5CWUEGO##3RXCAC0YIU43R7GQ20V6DWL8TG58GJ##A33PQXKQHFVF3V##Blog_953184##q1_a1##3PIOQ99R7004CC6V2534AOG5Z1CUN5,"I had a cupcake for breakfast today . Last night I had my traditional Monday night get - together ; there were cupcakes . I usually plan my week so that my "" cheat "" will be the dessert on Monday nights ( unless it 's ice cream ) , so I was n't bothered . However , they packed one extra cupcake into a baggie ( like an illicit drug .","Why am I planning meals with a "" cheat "" in them ?",None of the above choices .,"My wife and I are swingers and some nights at dinner we "" cheat "" .","I am a recovering alcoholic and sometimes I "" cheat "" with an illicit drug .","I am lactose so sometimes I "" cheat "" and eat ice cream .",0,1,[-3.617    0.05093 -4.37    -5.92   ]
31YWE12TE0ASW69W75L2605B0XG7X1##304SM51WA42AOLOHGFXX1E63J0BSBS##A2KYOM2ZGYDJGT##Blog_308511##q1_a1##3GVPRXWRPJ8A00J8SHX1VO645OW7I5,"She radiated an aura of awesomeness , as though she was as wise and loveable and graceful and uber - powerful as anyone had ever been in the history of the universe . All three were clearly vampires . Buffy licked her lip in thought , touching the scar that reminded her of the evil that vampires brought to the world . Just as she made up her mind what she was going to do , the tiny vampire looked up in horror .",Why did the tiny vampire look up in horror ?,None of the above choices .,Because Buffy licked her lip .,Because the woman was wise and lovable .,Because it felt it was in danger .,3,0,[-2.123 -7.363 -5.31  -4.22 ]
3VCK0Q0PO7SOWQUF4YPKLHSYJC80N8##3X65QVEQI32LP2K4U38RSAMZGHMLC5##AJ7NSZOAFP05U##Blog_138199##q1_a1##3RWSQDNYLB0352WO9SPSGJ6UO2OFFU,I told her I guess they did n't want to do that though because it seemed that they made more money with less people knowing . She did n't say another word to me and handed me my money . I was rather insulted that they had done this to me and wanted to get on me for not doing it and also for the fact that so many others have probably been some what taken by this also if they did n't look at the receipts . I am today writing the main office in New Jersey and am going to call the Area Manager .,What may have caused them to not go through with that ?,They did n't need an area manager .,They wanted more people .,They did n't want to hand me the money .,The expenses would be too great .,3,2,[-1.593  -2.715   0.1823  0.1482]
3KL228NDMVK55ZLQ1PA7MJA23B4GKC##33LKR6A5KFIAQNJ43I9Y57PGX8J1TS##A2KYOM2ZGYDJGT##Blog_1440729##q1_a1##3NSCTNUR211G7EMRS0QRG64P1ZM5AO,"She bit at her lip and tucked her hands behind her , looking up into his eyes a little . "" Ano .. yes ? "" He leaned forward , ducked his head , and kissed her firmly on the lips , grinning . His hair fell in his face a little bit before he withdrew , grinning like the cat who ate the canary .",Why did the guy kiss the girl ?,Because she tucked her hands behind her .,Because he grinned like a cat who ate the canary,None of the above choices .,"Because she said "" Ano .. yes ? """,2,3,[-7.51  -6.098 -3.209 -1.887]
3MIVREZQVJCBCDEBOJRJ8V2C2GYQKE##3WQQ9FUS6D970Q8FME3SCLUBD2RB8H##AJ7NSZOAFP05U##Blog_415003##q1_a1##337F8MIIM1R2AIK9MTAOM8MYSVE04E,It 's like he got scared of me because I was hurt . Why would he get scared if he likes me ? ? ? I do n't understand how I caused him to not like me anymore . I was even more hurt that he do n't want me anymore .,What may have caused him to be scared ?,He likes me .,I was injured .,He was injured .,None of the above choices .,1,0,[ 0.3286 -3.074  -3.227  -1.458 ]
3OYHVNTV5VC8R11V96ZFJQ7DOQ1KOA##3HYA4D452UYMRSI6BZGNLK8T78U2F7##A2MHM7JK1T9XHR##Blog_841139##q1_a1##3X2LT8FDHYWW198WR3TMAFB8W1H8WK,"On Saturday we went to Disney . Since titi Josie works there , she got us free passes . They were the park hopper type , and we went to the Hollywood place , Epcot , and Magical Kingdom ( which I still always accidentally call "" Animal Kingdom ' ) . Tower of Terror is not terrifying at all .",What city are we visiting ?,Anaheim,Orlando,None of the above choices .,Tokyo,1,0,[-0.4155 -2.164  -2.303  -6.02  ]
3NQUW096N8MG4KF7SHSY10P2HB4L9L##3XIQGXAUMFNADF6XH534NIP8KZ47XL##A3GVXFBYAU9HP##Blog_917445##q1_a1##3VGZ74AYTIU2GQ89TA59QYL2ROEGC2,"Maybe I am on drugs . These waffles were very good ... and can you believe how dark the blueberries look ? I do n't know why they were so dark . I made this recipe up in my head , so I ' m surprised they turned out to well . Next time I make waffles , I ' m making fried chicken to go with them .",Why am I so surprised that the waffles turned out well ?,None of the above choices .,"Since I made the recipe up , I did n't know how to make fried chicken correctly .","Since I made the recipe up , I did n't know how to make waffles correctly .","Since I made the recipe up , I did n't know the right measurements for fried chicken .",2,0,[-1.883 -2.648 -2.297 -4.11 ]
3NQUW096N8MG4KF7SHSY10P2HB4L9L##3XIQGXAUMFNADF6XH534NIP8KZ47XL##A3GVXFBYAU9HP##Blog_917445##q1_a2##3MDWE879UJG4RBTV1434NXTX5QJB9Z,"Maybe I am on drugs . These waffles were very good ... and can you believe how dark the blueberries look ? I do n't know why they were so dark . I made this recipe up in my head , so I ' m surprised they turned out to well . Next time I make waffles , I ' m making fried chicken to go with them .",Why am I so surprised that the waffles turned out well ?,"Since I made the recipe up , I did n't know the right measurements for waffles .",None of the above choices .,"Since I made the recipe up , I did n't know the right measurements for fried chicken .","Since I made the recipe up , I did n't know how to make fried chicken correctly .",0,1,[-3.256 -1.883 -4.11  -2.648]
3VO4XFFP15K8N98KLRQACS9I3Q57Q8##3ZPBJO59KQZED98LJHC4SQN1DXZDH2##AJ7NSZOAFP05U##Blog_1547581##q1_a1##35F6NGNVMAX09EZJMTW59V8DG337T9,"Exhaustion clearly on his face making her heart twitch in empathy . "" You want to take a break ? "" Unable to look into the other 's eyes because it took too much effort and she was fully exhausted . "" No .",What may have caused her heart to twitch in empathy ?,Her friend would n't look her in the eyes .,She was overworking herself .,She was watching someone overworking themselves .,She could n't take a break with him,2,1,[-2.785  3.87   3.664 -3.414]
3R5OYNIC2C7ALV4CYHEMHJBQNTXPT2##30BUDKLTXET7PM2QEAMF9B2W84CE5Q##AJ7NSZOAFP05U##Blog_655627##q1_a1##3WYZV0QBFLRUS7BT4K9I30FFCPMXB8,"About a month later , I shot up 20 lbs over a two week period . I was dieting and exercising at the time , so I checked my weight weekly . Nothing was wrong with the scale , I ' ve checked it elsewhere and everyone else in my house has used it and seen no changes .",What may have caused you to gain 20 lbs ?,I stopped exercising at the time .,I ca n't determine the reason .,I messed up my diet .,Something was wrong wit the scale .,1,3,[-1.602 -1.456 -1.223 -1.015]
3ZZAYRN1I6PS0VSBJH17SJ60DO2OTL##3L6L49WXW1VPXK5XP4A20PQ5VNA54J##A2KYOM2ZGYDJGT##Blog_52578##q1_a1##3MQKOF1EE428I44N8B42W7P868SWDL,"If you 're not expecting it , and it really does n't go with the dish , it 's bloody awful . I had sand whiting with Mediterranean stuffing . The stuffing was nice enough , and the fish was cooked well , but there was a bit of sinew or something attached that made it hard to cut through . I do n't know if sand whiting is always like that , or they just did n't clean it properly , but I do n't expect to need a steak knife to eat fish . There was no seasoning on the fish , and too much in the saffron broth ( which was more like a reduction ) that was poured over it . I assume they thought it would balance the dish out , but it did n't .",Why does the writer not expect to need a steak knife to eat fish ?,None of the above choices .,Because the knife really does n't go with the dish .,Because fish is supposed to be soft .,Because the fish had Mediterranean stuffing .,2,0,[-2.326 -4.12  -3.262 -5.477]
3VO4XFFP15K8N98KLRQACS9I3UT7Q4##34Z02EIMITBAJYYM7Z5YR266UFE0TP##A2KYOM2ZGYDJGT##Blog_1189639##q1_a1##3Q2T3FD0OPMEV08CBKS3A015HVVM3W,"Sunday August 31 was a pretty good day for me . I woke up around 10 am . I went on line first I noticed my messengers were n't working , I then tried opening explorer . That would n't work either .",What 's a possible reason the writer woke up around 10 am ?,Because it was Sunday August 31 .,None of the above choices .,Because they had already slept and did n't want to sleep more .,Because they went online .,2,3,[-5.555 -2.783 -2.148  1.354]
3LXX8KJXPYNOA5I4598QTHTWCQ6O9M##3JPSL1DZ5VENKNQRM2SFZ700L91ANU##A2KYOM2ZGYDJGT##Blog_487574##q1_a1##37PGLWGSJVKYVFQSBBMAZTBRCQXKIS,"Anytime i have had fees in the past ... as soon as i went in to check out more books ... i paid them as soon as i found out . They did n't send me any notice in the mail or anything ... no phone call either . So , i was shocked when i read the email . But anyway , when i got ready to pay her ... she seemed embarassed and said ... actually the fee was like 13.00 because more fees accrued since the notice was sent .",Why did I pay the fees as soon as I found out ?,Because I am responsible .,Because there was no phone call .,Because there was no mail .,Because they did n't send me any notice .,0,1,[-3.174 -1.752 -1.884 -3.477]
